"No.","Time","Source","Destination","Protocol","Length","Info"
"296","14.216080","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3011, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"303","14.318400","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3013, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"307","14.420846","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3015, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"314","14.523398","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3017, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"319","14.625625","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3018, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"320","14.728017","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3019, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"321","14.830397","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3020, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"323","14.932806","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3021, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"324","15.035149","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3022, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"325","15.137612","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3023, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"326","15.239981","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3024, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"327","15.342371","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3025, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"328","15.444717","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3026, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"329","15.547156","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3027, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"333","15.649513","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3028, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"334","15.751968","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3029, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"335","15.854408","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3030, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"336","15.956759","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3031, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"337","16.059093","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3032, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"338","16.161486","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3033, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"339","16.263939","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3034, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"340","16.366339","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3035, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"341","16.468654","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3036, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"342","16.571104","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3037, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"348","16.673511","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3039, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"349","16.775948","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3040, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"350","16.878296","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3041, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"351","16.980731","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3042, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"352","17.084393","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3043, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"353","17.185461","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3044, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"354","17.287828","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3045, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"355","17.390330","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3046, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"356","17.492699","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3047, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"357","17.595042","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3048, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"362","17.697408","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3049, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"363","17.799882","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3050, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"364","17.902247","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3051, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"365","18.004661","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3052, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"366","18.107040","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3053, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"367","18.209451","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3054, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"368","18.311797","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3055, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"369","18.414248","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3056, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"370","18.516657","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3057, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"371","18.619028","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3058, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"376","18.721434","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3059, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"377","18.823842","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3060, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"378","18.926242","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3061, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"379","19.028655","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3062, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
"380","19.130963","Cisco-Li_f7:1d:51","Broadcast","802.11","183","Beacon frame, SN=3063, FN=0, Flags=........C, BI=100, SSID=30 Munroe St"
