"No.","Time","Source","Destination","Protocol","Length","Info"
"294","0.902057","Cisco_9a:9d:54","Broadcast","802.11","252","Beacon frame, SN=3687, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"296","0.903242","Cisco_1b:d2:65","Broadcast","802.11","248","Beacon frame, SN=2408, FN=0, Flags=........C, BI=100, SSID=pdi"
"299","0.906012","Cisco_a9:50:a5","Broadcast","802.11","248","Beacon frame, SN=1261, FN=0, Flags=........C, BI=100, SSID=pdi"
"307","0.912743","Cisco_9b:54:d1","Broadcast","802.11","252","Beacon frame, SN=3337, FN=0, Flags=........C, BI=100, SSID=eduroam"
"309","0.914436","Cisco_9a:9d:50","Broadcast","802.11","248","Beacon frame, SN=3688, FN=0, Flags=........C, BI=100, SSID=pas"
"310","0.915429","Cisco_1b:d2:61","Broadcast","802.11","252","Beacon frame, SN=2409, FN=0, Flags=........C, BI=100, SSID=eduroam"
"311","0.917872","Cisco_a9:50:a1","Broadcast","802.11","252","Beacon frame, SN=1262, FN=0, Flags=........C, BI=100, SSID=eduroam"
"315","0.925992","Cisco-Li_b0:b7:56","Broadcast","802.11","312","Beacon frame, SN=1761, FN=0, Flags=........C, BI=100, SSID=ICB-Wifi"
"320","1.069364","Cisco_a9:50:a0","Broadcast","802.11","248","Beacon frame, SN=1270, FN=0, Flags=........C, BI=100, SSID=pas"
"321","1.070487","Cisco_9a:9d:51","Broadcast","802.11","252","Beacon frame, SN=3695, FN=0, Flags=........C, BI=100, SSID=eduroam"
"331","1.092109","Cisco-Li_a6:53:7c","Broadcast","802.11","133","Beacon frame, SN=3339, FN=0, Flags=........C, BI=100, SSID=GISUM_W1"
"341","1.105308","Cisco_9b:54:d5","Broadcast","802.11","248","Beacon frame, SN=3394, FN=0, Flags=........C, BI=100, SSID=pdi"
"344","1.107893","Cisco_1b:d2:65","Broadcast","802.11","248","Beacon frame, SN=2468, FN=0, Flags=........C, BI=100, SSID=pdi"
"345","1.108719","Cisco_9a:9d:54","Broadcast","802.11","252","Beacon frame, SN=3697, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"346","1.110374","Cisco_a9:50:a5","Broadcast","802.11","248","Beacon frame, SN=1271, FN=0, Flags=........C, BI=100, SSID=pdi"
"351","1.247252","Cisco_1b:d2:62","Broadcast","802.11","252","Beacon frame, SN=2493, FN=0, Flags=........C, BI=100, SSID=alumnos"
"360","1.250123","Cisco_a9:50:a2","Broadcast","802.11","252","Beacon frame, SN=1286, FN=0, Flags=........C, BI=100, SSID=alumnos"
"365","1.258225","Cisco_9b:54:d4","Broadcast","802.11","252","Beacon frame, SN=3435, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"366","1.259515","Cisco_1b:d2:64","Broadcast","802.11","252","Beacon frame, SN=2497, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"369","1.262533","Cisco_9a:9d:55","Broadcast","802.11","248","Beacon frame, SN=3704, FN=0, Flags=........C, BI=100, SSID=pdi"
"372","1.271830","Cisco_1b:d2:60","Broadcast","802.11","248","Beacon frame, SN=2500, FN=0, Flags=........C, BI=100, SSID=pas"
"375","1.287344","Cisco-Li_72:e1:78","Broadcast","802.11","135","Beacon frame, SN=3419, FN=0, Flags=........C, BI=100, SSID=NEO"
"383","1.426697","Cisco_9a:9d:50","Broadcast","802.11","248","Beacon frame, SN=3714, FN=0, Flags=........C, BI=100, SSID=pas"
"384","1.427380","Cisco_1b:d2:61","Broadcast","802.11","252","Beacon frame, SN=2532, FN=0, Flags=........C, BI=100, SSID=eduroam"
"385","1.427898","Cisco_1b:d5:04","Broadcast","802.11","252","Beacon frame, SN=818, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"388","1.429943","Cisco_a9:50:a1","Broadcast","802.11","252","Beacon frame, SN=1295, FN=0, Flags=........C, BI=100, SSID=eduroam"
"400","1.442815","Cisco_43:ba:c5","Broadcast","802.11","248","Beacon frame, SN=2272, FN=0, Flags=........C, BI=100, SSID=pdi"
"405","1.449189","Cisco_9b:54:d2","Broadcast","802.11","252","Beacon frame, SN=3463, FN=0, Flags=........C, BI=100, SSID=alumnos"
"413","1.452433","Cisco_1b:d2:62","Broadcast","802.11","252","Beacon frame, SN=2535, FN=0, Flags=........C, BI=100, SSID=alumnos"
"418","1.454357","Cisco_a9:50:a2","Broadcast","802.11","252","Beacon frame, SN=1296, FN=0, Flags=........C, BI=100, SSID=alumnos"
"427","1.462430","Cisco_9b:54:d4","Broadcast","802.11","252","Beacon frame, SN=3477, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"429","1.464318","Cisco_1b:d2:64","Broadcast","802.11","252","Beacon frame, SN=2538, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"430","1.466708","Cisco_a9:50:a4","Broadcast","802.11","252","Beacon frame, SN=1297, FN=0, Flags=........C, BI=100, SSID=WifiUma"
"431","1.467764","Cisco_9a:9d:55","Broadcast","802.11","248","Beacon frame, SN=3716, FN=0, Flags=........C, BI=100, SSID=pdi"
